Song_ID,Chart_Year,Chart_Position,Title,Num_of_Artists,Artist(s),Main_ArtistOne_ID,Main_ArtistTwo_ID,Main_ArtistThree_ID,Main_ArtistFour_ID,Featured_ArtistOne_ID,Featured_ArtistTwo_ID,Featured_ArtistThree_ID,Released_Date,Genre_ID,Song_Length,Album,log Spotify_streams,Spotify_Streams,Genre_ID,Genre_Type
1,2020,1,Blinding Lights,1,The Weeknd,251,,,,,,,11/29/2019,31,200,After Hours,9.672419875,4703486206,31,Synthwave
2,2020,2,Circles,1,Post Malone,207,,,,,,,8/30/2019,23,215,Hollywood's Bleeding,9.436304598,2730892460,23,Pop
3,2020,3,The Box,1,Roddy Ricch,218,,,,,,,12/6/2019,14,196,Please Excuse Me for Being Antisocial,8.322086295,209935699,14,Hip-Hop
4,2020,4,Don't Start Now,1,Dua Lipa,73,,,,,,,11/1/2019,9,183,Future Nostalgia,9.454022666,2844609567,9,Disco
5,2020,5,Rockstar,2,DaBaby featuring Roddy Ricch,59,,,,218,,,1/9/2020,14,181,Blame It On Baby,9.230242036,1699190361,14,Hip-Hop
6,2020,6,Adore You,1,Harry Styles,102,,,,,,,4/7/2020,23,207,Fine Line,9.259877185,1819186335,23,Pop
7,2020,7,Life Is Good,2,Future featuring Drake,89,,,,72,,,1/10/2020,14,237,Life Is Good,9.114129501,1300557331,14,Hip-Hop
8,2020,8,Memories,1,Maroon 5,167,,,,,,,9/20/2019,23,189,JORDI,9.341803429,2196865297,23,Pop
9,2020,9,The Bones,1,Maren Morris,165,,,,,,,5/15/2019,6,197,GIRL,8.67979885,478408459,6,Country Pop
10,2020,10,Someone You Loved,1,Lewis Capaldi,150,,,,,,,10/19/2018,23,182,Divinely Uninspired To A Hellish Extent,9.579108426,3794096969,23,Pop
11,2020,11,Say So,1,Doja Cat,69,,,,,,,11/9/2019,9,237,Hot Pink,9.101300926,1262702167,9,Disco
12,2020,12,I Hope,2,Gabby Barrett featuring Charlie Puth,90,,,,46,,,6/9/2019,6,210,Goldmine,8.630141235,426718267,6,Country Pop
13,2020,13,Whats Poppin,4,"Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne",110,,,,59,256,157,1/24/2020,14,227,WHATS POPPIN,8.888859107,774210590,14,Hip-Hop
14,2020,14,Dance Monkey,1,Tones and I,254,,,,,,,5/10/2019,23,209,Dance Monkey,9.506904473,3212953741,23,Pop
15,2020,15,Savage,2,Megan Thee Stallion featuring Beyoncé,171,,,,25,,,3/29/2020,14,242,Good News,8.647234448,443848185,14,Hip-Hop
16,2020,16,Roxanne,1,Arizona Zervas,13,,,,,,,10/4/2019,14,163,ROXANNE,9.184793323,1530359004,14,Hip-Hop
17,2020,17,Intentions,2,Justin Bieber featuring Quavo,130,,,,210,,,2/7/2020,23,212,Intentions,9.100546895,1260511739,23,Pop
18,2020,18,Everything I Wanted,1,Billie Eilish,26,,,,,,,11/13/2019,23,245,everything i wanted,9.255400462,1800530414,23,Pop
19,2020,19,Roses (Imanbek remix),1,Saint Jhn,222,,,,,,,7/19/2019,10,176,While The World Was Burning,9.308514886,2034767940,10,EDM
20,2020,20,Watermelon Sugar,1,Harry Styles,102,,,,,,,11/16/2020,23,174,Fine Line,9.467829617,2936497374,23,Pop
21,2020,21,Before You Go,1,Lewis Capaldi,150,,,,,,,3/9/2020,23,215,Divinely Uninspired To A Hellish Extent,9.326653772,2121552445,23,Pop
22,2020,22,Falling,1,Trevor Daniel,258,,,,,,,3/27/2020,23,149,Nicotine,9.238017024,1729884168,23,Pop
23,2020,23,"10,000 Hours",2,Dan + Shay and Justin Bieber,60,130,,,,,,9/6/2019,6,167,"10,000 Hours",9.050032723,1122102999,6,Country Pop
24,2020,24,WAP,2,Cardi B featuring Megan Thee Stallion,41,,,,171,,,8/7/2020,14,187,Wap,9.148716411,1408368850,14,Hip-Hop
25,2020,25,Ballin',2,Mustard and Roddy Ricch,181,218,,,,,,1/17/2020,14,180,Perfect Ten,8.985180834,966453213,14,Hip-Hop
26,2020,26,Hot Girl Bummer,1,Blackbear,29,,,,,,,9/6/2019,23,188,everything means nothing,9.122722165,1326545544,23,Pop
27,2020,27,Blueberry Faygo,1,Lil Mosey,153,,,,,,,4/10/2020,14,162,Blueberry Faygo,9.140250599,1381181010,14,Hip-Hop
28,2020,28,Heartless,1,The Weeknd,251,,,,,,,11/27/2019,14,198,After Hours,9.031049501,1074111834,14,Hip-Hop
29,2020,29,Bop,1,DaBaby,59,,,,,,,3/6/2020,14,159,KIRK,8.94181412,874609358,14,Hip-Hop
30,2020,30,Lose You to Love Me,1,Selena Gomez,228,,,,,,,10/23/2019,23,206,Rare,9.118415316,1313455358,23,Pop
31,2020,31,Good as Hell,1,Lizzo,158,,,,,,,3/8/2016,23,159,Cuz I Love You,8.821885319,663567823,23,Pop
32,2020,32,Toosie Slide,1,Drake,72,,,,,,,4/3/2020,14,247,Toosie Slide,9.044899989,1108919419,14,Hip-Hop
33,2020,33,Break My Heart,1,Dua Lipa,73,,,,,,,3/25/2020,23,221,Future Nostalgia,9.111005765,1291236413,23,Pop
34,2020,34,Chasin' You,1,Morgan Wallen,179,,,,,,,8/9/2019,5,205,If I KNnow Me,8.85584105,717531630,5,Country
35,2020,35,Savage Love (Laxed – Siren Beat),2,Jawsh 685 and Jason Derulo,114,113,,,,,,6/11/2020,8,171,Savage Love (Laxed – Siren Beat),9.064692656,1160626964,8,Dancehall
36,2020,36,No Guidance,2,Chris Brown featuring Drake,49,,,,72,,,6/28/2019,26,260,Indigo,9.045675531,1110901444,26,R&B
37,2020,37,My Oh My,2,Camila Cabello featuring DaBaby,40,,,,59,,,12/6/2019,23,170,Romance,8.877132682,753585758,23,Pop
38,2020,38,Dynamite,1,BTS,38,,,,,,,8/21/2020,18,199,BE,9.305454436,2020479441,18,K-pop
39,2020,39,Go Crazy,2,Chris Brown and Young Thug,49,275,,,,,,5/8/2020,26,176,Slime & B,8.873369914,747084823,26,R&B
40,2020,40,High Fashion,2,Roddy Ricch featuring Mustard,218,,,,181,,,12/6/2019,14,220,Please Excuse Me for Being Antisocial,8.754184655,567785967,14,Hip-Hop
41,2020,41,Laugh Now Cry Later,2,Drake featuring Lil Durk,72,,,,152,,,8/14/2020,14,261,Laugh Now Cry Later,9.009958261,1023194651,14,Hip-Hop
42,2020,42,Woah,1,Lil Baby,151,,,,,,,4/2/2020,14,183,My Turn,8.65039706,447092166,14,Hip-Hop
43,2020,43,Death Bed,2,Powfu featuring Beabadoobee,208,,,,19,,,9/17/2019,16,173,Powfu,9.252690995,1789332274,16,Indie Pop
44,2020,44,Señorita,2,Shawn Mendes and Camila Cabello,233,40,,,,,,6/21/2019,23,190,Señorita,9.467464574,2934030159,23,Pop
45,2020,45,Highest in the Room,1,Travis Scott,257,,,,,,,10/4/2019,14,175,Highest in the Room,9.286927474,1936098613,14,Hip-Hop
46,2020,46,Bad Guy,1,Billie Eilish,26,,,,,,,3/29/2019,23,194,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",9.426930257,2672577187,23,Pop
47,2020,47,Mood,2,24kGoldn featuring Iann Dior,4,,,,104,,,7/10/2020,23,140,El Dorado,9.304778165,2017335657,23,Pop
48,2020,48,Rain on Me,2,Lady Gaga and Ariana Grande,145,12,,,,,,5/22/2020,23,182,Chromatica,9.051524391,1125963703,23,Pop
49,2020,49,For the Night,3,Pop Smoke featuring Lil Baby and DaBaby,206,,,,151,59,,7/3/2020,14,190,Shoot For The Stars Aim For The Moon,9.071971922,1180244327,14,Hip-Hop
50,2020,50,Ritmo (Bad Boys for Life),2,Black Eyed Peas and J Balvin,28,109,,,,,,12/13/2019,27,221,RITMO,9.000455587,1001049579,27,Reggaeton
51,2020,51,Heart on Ice,1,Rod Wave,217,,,,,,,6/17/2019,14,149,PTSD,8.53992117,346673919,14,Hip-Hop
52,2020,52,Nobody but You,2,Blake Shelton and Gwen Stefani,30,98,,,,,,1/24/2020,5,194,Fully Loaded: God's Country,8.169407546,147709200,5,Country
53,2020,53,Trampoline,1,Shaed,231,,,,,,,2/22/2019,23,184,MELT,8.376204655,237796060,23,Pop
54,2020,54,Come & Go,2,Juice Wrld and Marshmello,127,168,,,,,,7/10/2020,23,205,Legends Never Die,9.014105027,1033011192,23,Pop
55,2020,55,Truth Hurts,1,Lizzo,158,,,,,,,9/19/2017,23,173,Cuz I Love You,9.010611903,1024735785,23,Pop
56,2020,56,If the World Was Ending,2,JP Saxe featuring Julia Michaels,126,,,,128,,,10/4/2019,23,208,If the World Was Ending,9.095151674,1244949324,23,Pop
57,2020,57,We Paid,2,Lil Baby and 42 Dugg,151,5,,,,,,4/3/2020,14,181,My Turn,8.660822704,457954893,14,Hip-Hop
58,2020,58,Yummy,1,Justin Bieber,130,,,,,,,1/3/2020,23,210,Yummy,8.920089858,831935886,23,Pop
